FECHA_VST,0,1,2,3,4
2018-04-20,717,726,700,684,573
2018-04-21,726,700,684,573,0
2018-04-22,700,684,573,0,0
2018-04-23,684,573,0,0,596
2018-04-24,573,0,0,596,666
2018-04-25,0,0,596,666,600
2018-04-26,0,596,666,600,624
2018-04-27,596,666,600,624,594
2018-04-28,666,600,624,594,0
2018-04-29,600,624,594,0,0
2018-04-30,624,594,0,0,0
2018-05-01,594,0,0,0,647
2018-05-02,0,0,0,647,777
2018-05-03,0,0,647,777,520
2018-05-04,0,647,777,520,219
2018-05-05,647,777,520,219,0
2018-05-06,777,520,219,0,0
2018-05-07,520,219,0,0,0
2018-05-08,219,0,0,0,0
2018-05-09,0,0,0,0,0
2018-05-10,0,0,0,0,0
2018-05-11,0,0,0,0,0
2018-05-12,0,0,0,0,0
2018-05-13,0,0,0,0,0
2018-05-14,0,0,0,0,705
2018-05-15,0,0,0,705,714
2018-05-16,0,0,705,714,735
2018-05-17,0,705,714,735,730
2018-05-18,705,714,735,730,663
2018-05-19,714,735,730,663,12
2018-05-20,735,730,663,12,0
2018-05-21,730,663,12,0,681
2018-05-22,663,12,0,681,729
2018-05-23,12,0,681,729,657
2018-05-24,0,681,729,657,606
2018-05-25,681,729,657,606,0
2018-05-26,729,657,606,0,0
2018-05-27,657,606,0,0,0
2018-05-28,606,0,0,0,624
2018-05-29,0,0,0,624,602
2018-05-30,0,0,624,602,13
2018-05-31,0,624,602,13,0
2018-06-01,624,602,13,0,0
2018-06-02,602,13,0,0,761
2018-06-03,13,0,0,761,428
2018-06-04,0,0,761,428,292
2018-06-05,0,761,428,292,0
2018-06-06,761,428,292,0,0
2018-06-07,428,292,0,0,0
2018-06-08,292,0,0,0,0
2018-06-09,0,0,0,0,0
2018-06-10,0,0,0,0,0
2018-06-11,0,0,0,0,0
2018-06-12,0,0,0,0,0
2018-06-13,0,0,0,0,0
2018-06-14,0,0,0,0,0
2018-06-15,0,0,0,0,0
2018-06-16,0,0,0,0,0
2018-06-17,0,0,0,0,0
2018-06-18,0,0,0,0,0
2018-06-19,0,0,0,0,0
2018-06-20,0,0,0,0,0
2018-06-21,0,0,0,0,0
2018-06-22,0,0,0,0,0
2018-06-23,0,0,0,0,0
2018-06-24,0,0,0,0,0
2018-06-25,0,0,0,0,0
2018-06-26,0,0,0,0,0
2018-06-27,0,0,0,0,0
2018-06-28,0,0,0,0,0
2018-06-29,0,0,0,0,0
2018-06-30,0,0,0,0,0
2018-07-01,0,0,0,0,0
2018-07-02,0,0,0,0,727
2018-07-03,0,0,0,727,241
2018-07-04,0,0,727,241,0
2018-07-05,0,727,241,0,616
2018-07-06,727,241,0,616,0
2018-07-07,241,0,616,0,0
2018-07-08,0,616,0,0,0
2018-07-09,616,0,0,0,0
2018-07-10,0,0,0,0,0
2018-07-11,0,0,0,0,0
2018-07-12,0,0,0,0,0
2018-07-13,0,0,0,0,0
2018-07-14,0,0,0,0,0
2018-07-15,0,0,0,0,0
2018-07-16,0,0,0,0,0
2018-07-17,0,0,0,0,0
2018-07-18,0,0,0,0,0
2018-07-19,0,0,0,0,0
2018-07-20,0,0,0,0,0
2018-07-21,0,0,0,0,0
2018-07-22,0,0,0,0,0
2018-07-23,0,0,0,0,0
2018-07-24,0,0,0,0,0
2018-07-25,0,0,0,0,0
2018-07-26,0,0,0,0,0
2018-07-27,0,0,0,0,0
2018-07-28,0,0,0,0,0
2018-07-29,0,0,0,0,0
2018-07-30,0,0,0,0,0
2018-07-31,0,0,0,0,0
2018-08-01,0,0,0,0,507
2018-08-02,0,0,0,507,713
2018-08-03,0,0,507,713,680
2018-08-04,0,507,713,680,0
2018-08-05,507,713,680,0,628
2018-08-06,713,680,0,628,0
2018-08-07,680,0,628,0,0
2018-08-08,0,628,0,0,0
2018-08-09,628,0,0,0,0
2018-08-10,0,0,0,0,0
2018-08-11,0,0,0,0,0
2018-08-12,0,0,0,0,0
2018-08-13,0,0,0,0,0
2018-08-14,0,0,0,0,0
2018-08-15,0,0,0,0,0
2018-08-16,0,0,0,0,0
2018-08-17,0,0,0,0,0
2018-08-18,0,0,0,0,0
2018-08-19,0,0,0,0,0
2018-08-20,0,0,0,0,0
2018-08-21,0,0,0,0,0
2018-08-22,0,0,0,0,0
2018-08-23,0,0,0,0,0
2018-08-24,0,0,0,0,0
2018-08-25,0,0,0,0,0
2018-08-26,0,0,0,0,0
2018-08-27,0,0,0,0,0
2018-08-28,0,0,0,0,0
2018-08-29,0,0,0,0,0
2018-08-30,0,0,0,0,0
2018-08-31,0,0,0,0,0
2018-09-01,0,0,0,0,512
2018-09-02,0,0,0,512,637
2018-09-03,0,0,512,637,510
2018-09-04,0,512,637,510,700
2018-09-05,512,637,510,700,644
2018-09-06,637,510,700,644,0
2018-09-07,510,700,644,0,0
2018-09-08,700,644,0,0,0
2018-09-09,644,0,0,0,0
2018-09-10,0,0,0,0,0
2018-09-11,0,0,0,0,0
2018-09-12,0,0,0,0,0
2018-09-13,0,0,0,0,0
2018-09-14,0,0,0,0,0
2018-09-15,0,0,0,0,0
2018-09-16,0,0,0,0,0
2018-09-17,0,0,0,0,0
2018-09-18,0,0,0,0,0
2018-09-19,0,0,0,0,0
2018-09-20,0,0,0,0,0
2018-09-21,0,0,0,0,0
2018-09-22,0,0,0,0,0
2018-09-23,0,0,0,0,0
2018-09-24,0,0,0,0,0
2018-09-25,0,0,0,0,0
2018-09-26,0,0,0,0,0
2018-09-27,0,0,0,0,0
2018-09-28,0,0,0,0,0
2018-09-29,0,0,0,0,0
2018-09-30,0,0,0,0,0
2018-10-01,0,0,0,0,687
2018-10-02,0,0,0,687,0
2018-10-03,0,0,687,0,0
2018-10-04,0,687,0,0,697
2018-10-05,687,0,0,697,338
2018-10-06,0,0,697,338,0
2018-10-07,0,697,338,0,0
2018-10-08,697,338,0,0,0
2018-10-09,338,0,0,0,0
2018-10-10,0,0,0,0,0
2018-10-11,0,0,0,0,0
2018-10-12,0,0,0,0,0
2018-10-13,0,0,0,0,0
2018-10-14,0,0,0,0,0
2018-10-15,0,0,0,0,0
