FECHA_VST,0,1,2,3,4,5,6,7,8,9,10
2017-09-24,244,64,202,60,201,45,0,0,0,0,0
2017-09-25,202,60,201,45,0,0,0,0,223,51,459
2017-09-26,201,45,0,0,0,0,223,51,241,50,599
2017-09-27,0,0,0,0,223,51,241,50,127,62,478
2017-09-28,0,0,223,51,241,50,127,62,234,55,606
2017-09-29,223,51,241,50,127,62,234,55,175,55,473
2017-09-30,241,50,127,62,234,55,175,55,0,0,0
2017-10-01,127,62,234,55,175,55,0,0,0,0,0
2017-10-02,234,55,175,55,0,0,0,0,276,0,530
2017-10-03,175,55,0,0,0,0,276,0,261,35,560
2017-10-04,0,0,0,0,276,0,261,35,294,54,671
2017-10-05,0,0,276,0,261,35,294,54,235,58,572
2017-10-06,276,0,261,35,294,54,235,58,0,0,0
2017-10-07,261,35,294,54,235,58,0,0,263,73,671
2017-10-08,294,54,235,58,0,0,263,73,187,46,475
2017-10-09,235,58,0,0,263,73,187,46,0,0,0
2017-10-10,0,0,263,73,187,46,0,0,265,60,648
2017-10-11,263,73,187,46,0,0,265,60,211,41,439
2017-10-12,187,46,0,0,265,60,211,41,0,0,0
2017-10-13,0,0,265,60,211,41,0,0,248,56,636
2017-10-14,265,60,211,41,0,0,248,56,0,0,0
2017-10-15,211,41,0,0,248,56,0,0,0,0,0
2017-10-16,0,0,248,56,0,0,0,0,286,84,750
2017-10-17,248,56,0,0,0,0,286,84,314,70,791
2017-10-18,0,0,0,0,286,84,314,70,307,90,808
2017-10-19,0,0,286,84,314,70,307,90,285,80,754
2017-10-20,286,84,314,70,307,90,285,80,238,54,564
2017-10-21,314,70,307,90,285,80,238,54,0,0,0
2017-10-22,307,90,285,80,238,54,0,0,0,0,0
2017-10-23,285,80,238,54,0,0,0,0,260,40,584
2017-10-24,238,54,0,0,0,0,260,40,126,61,459
2017-10-25,0,0,0,0,260,40,126,61,276,58,637
2017-10-26,0,0,260,40,126,61,276,58,260,54,500
2017-10-27,260,40,126,61,276,58,260,54,229,46,585
2017-10-28,126,61,276,58,260,54,229,46,0,0,1
2017-10-29,276,58,260,54,229,46,0,0,0,0,0
2017-10-30,260,54,229,46,0,0,0,0,283,54,603
2017-10-31,229,46,0,0,0,0,283,54,211,46,527
2017-11-01,0,0,0,0,283,54,211,46,0,0,0
2017-11-02,0,0,283,54,211,46,0,0,0,0,0
2017-11-03,283,54,211,46,0,0,0,0,0,0,0
2017-11-04,211,46,0,0,0,0,0,0,290,48,678
2017-11-05,0,0,0,0,0,0,290,48,274,64,620
2017-11-06,0,0,0,0,290,48,274,64,0,0,0
2017-11-07,0,0,290,48,274,64,0,0,299,64,679
2017-11-08,290,48,274,64,0,0,299,64,13,0,19
2017-11-09,274,64,0,0,299,64,13,0,249,45,648
2017-11-10,0,0,299,64,13,0,249,45,283,62,671
2017-11-11,299,64,13,0,249,45,283,62,0,0,0
2017-11-12,13,0,249,45,283,62,0,0,316,76,764
2017-11-13,249,45,283,62,0,0,316,76,321,67,746
2017-11-14,283,62,0,0,316,76,321,67,278,62,714
2017-11-15,0,0,316,76,321,67,278,62,281,64,707
2017-11-16,316,76,321,67,278,62,281,64,232,68,645
2017-11-17,321,67,278,62,281,64,232,68,210,50,490
2017-11-18,278,62,281,64,232,68,210,50,0,0,0
2017-11-19,281,64,232,68,210,50,0,0,0,0,0
2017-11-20,232,68,210,50,0,0,0,0,329,49,772
2017-11-21,210,50,0,0,0,0,329,49,279,55,698
2017-11-22,0,0,0,0,329,49,279,55,303,57,702
2017-11-23,0,0,329,49,279,55,303,57,282,49,664
2017-11-24,329,49,279,55,303,57,282,49,261,48,584
2017-11-25,279,55,303,57,282,49,261,48,0,0,0
2017-11-26,303,57,282,49,261,48,0,0,0,0,0
2017-11-27,282,49,261,48,0,0,0,0,295,46,698
2017-11-28,261,48,0,0,0,0,295,46,277,41,674
2017-11-29,0,0,0,0,295,46,277,41,296,48,714
2017-11-30,0,0,295,46,277,41,296,48,260,56,536
2017-12-01,295,46,277,41,296,48,260,56,0,0,0
2017-12-02,277,41,296,48,260,56,0,0,0,0,0
2017-12-03,296,48,260,56,0,0,0,0,0,0,0
2017-12-04,260,56,0,0,0,0,0,0,251,47,585
2017-12-05,0,0,0,0,0,0,251,47,212,67,599
2017-12-06,0,0,0,0,251,47,212,67,274,67,712
2017-12-07,0,0,251,47,212,67,274,67,299,71,664
2017-12-08,251,47,212,67,274,67,299,71,0,0,0
2017-12-09,212,67,274,67,299,71,0,0,281,50,714
2017-12-10,274,67,299,71,0,0,281,50,304,57,710
2017-12-11,299,71,0,0,281,50,304,57,0,0,0
2017-12-12,0,0,281,50,304,57,0,0,284,51,728
2017-12-13,281,50,304,57,0,0,284,51,316,64,772
2017-12-14,304,57,0,0,284,51,316,64,256,35,724
2017-12-15,0,0,284,51,316,64,256,35,235,29,423
2017-12-16,284,51,316,64,256,35,235,29,0,0,0
2017-12-17,316,64,256,35,235,29,0,0,0,0,0
2017-12-18,256,35,235,29,0,0,0,0,310,47,402
2017-12-19,235,29,0,0,0,0,310,47,24,19,49
2017-12-20,0,0,0,0,310,47,24,19,1,0,1
2017-12-21,0,0,310,47,24,19,1,0,0,1,1
2017-12-22,310,47,24,19,1,0,0,1,0,0,0
2017-12-23,24,19,1,0,0,1,0,0,0,0,0
2017-12-24,1,0,0,1,0,0,0,0,0,0,0
2017-12-25,0,1,0,0,0,0,0,0,0,0,0
2017-12-26,0,0,0,0,0,0,0,0,0,0,0
2017-12-27,0,0,0,0,0,0,0,0,0,0,0
2017-12-28,0,0,0,0,0,0,0,0,0,0,0
2017-12-29,0,0,0,0,0,0,0,0,0,0,0
2017-12-30,0,0,0,0,0,0,0,0,0,0,0
2017-12-31,0,0,0,0,0,0,0,0,0,0,0
2018-01-01,0,0,0,0,0,0,0,0,0,0,0
