FECHA_VST,0,1,2,3,4,5
2017-07-07,32,168,0,330,21,306
2017-07-08,168,0,330,21,314,623
2017-07-09,0,330,21,314,235,485
2017-07-10,330,21,314,235,0,0
2017-07-11,21,314,235,0,259,428
2017-07-12,314,235,0,259,350,652
2017-07-13,235,0,259,350,304,648
2017-07-14,0,259,350,304,302,587
2017-07-15,259,350,304,302,0,0
2017-07-16,350,304,302,0,0,0
2017-07-17,304,302,0,0,373,678
2017-07-18,302,0,0,373,374,648
2017-07-19,0,0,373,374,416,696
2017-07-20,0,373,374,416,373,682
2017-07-21,373,374,416,373,293,567
2017-07-22,374,416,373,293,0,0
2017-07-23,416,373,293,0,0,0
2017-07-24,373,293,0,0,167,319
2017-07-25,293,0,0,167,273,590
2017-07-26,0,0,167,273,342,502
2017-07-27,0,167,273,342,294,588
2017-07-28,167,273,342,294,271,539
2017-07-29,273,342,294,271,0,0
2017-07-30,342,294,271,0,0,0
2017-07-31,294,271,0,0,255,416
2017-08-01,271,0,0,255,0,0
2017-08-02,0,0,255,0,283,558
2017-08-03,0,255,0,283,254,595
2017-08-04,255,0,283,254,0,0
2017-08-05,0,283,254,0,272,623
2017-08-06,283,254,0,272,334,642
2017-08-07,254,0,272,334,0,0
2017-08-08,0,272,334,0,316,614
2017-08-09,272,334,0,316,252,453
2017-08-10,334,0,316,252,0,0
2017-08-11,0,316,252,0,317,641
2017-08-12,316,252,0,317,336,653
2017-08-13,252,0,317,336,0,0
2017-08-14,0,317,336,0,350,655
2017-08-15,317,336,0,350,351,672
2017-08-16,336,0,350,351,315,637
2017-08-17,0,350,351,315,330,628
2017-08-18,350,351,315,330,228,463
2017-08-19,351,315,330,228,0,0
2017-08-20,315,330,228,0,0,0
2017-08-21,330,228,0,0,247,495
2017-08-22,228,0,0,247,226,481
2017-08-23,0,0,247,226,162,474
2017-08-24,0,247,226,162,293,614
2017-08-25,247,226,162,293,148,411
2017-08-26,226,162,293,148,0,0
2017-08-27,162,293,148,0,0,0
2017-08-28,293,148,0,0,263,466
2017-08-29,148,0,0,263,297,559
2017-08-30,0,0,263,297,273,526
2017-08-31,0,263,297,273,275,447
2017-09-01,263,297,273,275,0,0
2017-09-02,297,273,275,0,290,563
2017-09-03,273,275,0,290,259,599
2017-09-04,275,0,290,259,0,0
2017-09-05,0,290,259,0,288,619
2017-09-06,290,259,0,288,296,572
2017-09-07,259,0,288,296,0,0
2017-09-08,0,288,296,0,261,542
2017-09-09,288,296,0,261,0,0
2017-09-10,296,0,261,0,0,0
2017-09-11,0,261,0,0,316,660
2017-09-12,261,0,0,316,0,0
2017-09-13,0,0,316,0,392,717
2017-09-14,0,316,0,392,360,710
2017-09-15,316,0,392,360,268,470
2017-09-16,0,392,360,268,0,0
2017-09-17,392,360,268,0,0,0
2017-09-18,360,268,0,0,263,545
2017-09-19,268,0,0,263,297,599
2017-09-20,0,0,263,297,288,596
2017-09-21,0,263,297,288,304,566
2017-09-22,263,297,288,304,176,422
2017-09-23,297,288,304,176,0,0
2017-09-24,288,304,176,0,0,0
2017-09-25,304,176,0,0,185,459
2017-09-26,176,0,0,185,308,599
2017-09-27,0,0,185,308,289,478
2017-09-28,0,185,308,289,317,606
2017-09-29,185,308,289,317,243,473
2017-09-30,308,289,317,243,0,0
2017-10-01,289,317,243,0,0,0
2017-10-02,317,243,0,0,254,530
2017-10-03,243,0,0,254,264,560
2017-10-04,0,0,254,264,323,671
2017-10-05,0,254,264,323,279,572
2017-10-06,254,264,323,279,0,0
2017-10-07,264,323,279,0,335,671
2017-10-08,323,279,0,335,242,475
2017-10-09,279,0,335,242,0,0
2017-10-10,0,335,242,0,323,648
2017-10-11,335,242,0,323,187,439
2017-10-12,242,0,323,187,0,0
2017-10-13,0,323,187,0,332,636
2017-10-14,323,187,0,332,0,0
2017-10-15,187,0,332,0,0,0
2017-10-16,0,332,0,0,380,750
2017-10-17,332,0,0,380,407,791
2017-10-18,0,0,380,407,411,808
2017-10-19,0,380,407,411,389,754
2017-10-20,380,407,411,389,272,564
2017-10-21,407,411,389,272,0,0
2017-10-22,411,389,272,0,0,0
2017-10-23,389,272,0,0,284,584
2017-10-24,272,0,0,284,272,459
2017-10-25,0,0,284,272,303,637
2017-10-26,0,284,272,303,186,500
2017-10-27,284,272,303,186,310,585
2017-10-28,272,303,186,310,1,1
2017-10-29,303,186,310,1,0,0
2017-10-30,186,310,1,0,266,603
2017-10-31,310,1,0,266,270,527
2017-11-01,1,0,266,270,0,0
2017-11-02,0,266,270,0,0,0
2017-11-03,266,270,0,0,0,0
2017-11-04,270,0,0,0,340,678
2017-11-05,0,0,0,340,282,620
2017-11-06,0,0,340,282,0,0
2017-11-07,0,340,282,0,316,679
2017-11-08,340,282,0,316,6,19
2017-11-09,282,0,316,6,354,648
2017-11-10,0,316,6,354,326,671
2017-11-11,316,6,354,326,0,0
2017-11-12,6,354,326,0,372,764
2017-11-13,354,326,0,372,358,746
2017-11-14,326,0,372,358,374,714
2017-11-15,0,372,358,374,362,707
2017-11-16,372,358,374,362,345,645
2017-11-17,358,374,362,345,230,490
2017-11-18,374,362,345,230,0,0
2017-11-19,362,345,230,0,0,0
2017-11-20,345,230,0,0,394,772
2017-11-21,230,0,0,394,364,698
2017-11-22,0,0,394,364,342,702
2017-11-23,0,394,364,342,333,664
2017-11-24,394,364,342,333,275,584
2017-11-25,364,342,333,275,0,0
2017-11-26,342,333,275,0,0,0
2017-11-27,333,275,0,0,357,698
2017-11-28,275,0,0,357,356,674
2017-11-29,0,0,357,356,370,714
2017-11-30,0,357,356,370,220,536
2017-12-01,357,356,370,220,0,0
2017-12-02,356,370,220,0,0,0
2017-12-03,370,220,0,0,0,0
2017-12-04,220,0,0,0,287,585
